grantee,url,amount,date,cause_area,cause_area_url,notes
California State Summer School Arts Foundation,https://www.hewlett.org/grants/california-state-summer-school-arts-foundation-for-general-operating-support-1/,"$120,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Natural Resources Defense Council,https://www.hewlett.org/grants/natural-resources-defense-council-for-support-of-the-land-and-wildlife-program-and-the-energy-program/,"$125,000","October 24, 2017",Environment,https://www.hewlett.org/programs/environment/,for support of the Land and Wildlife program and the Energy Program
Movimiento de Arte y Cultura Latino Americana,https://www.hewlett.org/grants/movimiento-de-arte-y-cultura-latino-americana-for-general-operating-support-0/,"$225,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
San Francisco Ballet Association,https://www.hewlett.org/grants/san-francisco-ballet-association-for-general-operating-support-1/,"$525,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Center for Asian American Media,https://www.hewlett.org/grants/center-for-asian-american-media-for-general-operating-support-2/,"$210,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Chhandam Chitresh Das Dance Company,https://www.hewlett.org/grants/chhandam-chitresh-das-dance-company-for-general-operating-support-2/,"$70,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Zaccho SF,https://www.hewlett.org/grants/zaccho-sf-for-general-operating-support-3/,"$145,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Afsaneh Art & Culture Society - Ballet Afsaneh,https://www.hewlett.org/grants/afsaneh-art-culture-society-ballet-afsaneh-for-general-operating-support-1/,"$75,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Dancers Group,https://www.hewlett.org/grants/dancers-group-for-sins-invalid-0/,"$75,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for Sins Invalid
Dimensions Dance Theater,https://www.hewlett.org/grants/dimensions-dance-theater-for-general-operating-support-1/,"$150,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Robert Moses' Kin,https://www.hewlett.org/grants/robert-moses-kin-for-general-operating-support-2/,"$90,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Frameline,https://www.hewlett.org/grants/frameline-for-general-operating-support-2/,"$210,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Peninsula Ballet Theatre,https://www.hewlett.org/grants/peninsula-ballet-theatre-for-general-operating-support-2/,"$120,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Circus Center,https://www.hewlett.org/grants/circus-center-for-general-operating-support-2/,"$100,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Loco Bloco Drum and Dance Ensemble,https://www.hewlett.org/grants/loco-bloco-drum-and-dance-ensemble-for-general-operating-support-1/,"$195,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
"Friends of Olympia Station, Inc.",https://www.hewlett.org/grants/friends-of-olympia-station-inc-for-general-operating-support-0/,"$75,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
"API Cultural Center, Inc.",https://www.hewlett.org/grants/api-cultural-center-inc-for-general-operating-support-2/,"$90,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Dancers Group,https://www.hewlett.org/grants/dancers-group-for-general-operating-support-1/,"$330,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Center for Cultural Innovation,https://www.hewlett.org/grants/center-for-cultural-innovation-for-a-regranting-program-for-individual-performing-artists-in-the-bay-area-2/,"$300,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for a regranting program for individual performing artists in the Bay Area
Luna Dance Institute,https://www.hewlett.org/grants/luna-dance-institute-for-general-operating-support-1/,"$120,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Bandaloop,https://www.hewlett.org/grants/bandaloop-for-general-operating-support-2/,"$105,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Queer Women of Color Media Arts Project,https://www.hewlett.org/grants/queer-women-of-color-media-arts-project-for-general-operating-support-2/,"$135,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Center for Cultural Innovation,https://www.hewlett.org/grants/center-for-cultural-innovation-for-california-arts-leadership-now/,"$200,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for California Arts Leadership Now
Crucible,https://www.hewlett.org/grants/crucible-for-general-operating-support-1/,"$120,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Humboldt Area Foundation,https://www.hewlett.org/grants/humboldt-area-foundation-for-the-native-cultures-fund-1/,"$150,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for the Native Cultures Fund
Smuin Ballets/SF,https://www.hewlett.org/grants/smuin-balletssf-for-general-operating-support-2/,"$150,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Zohar Dance Company,https://www.hewlett.org/grants/zohar-dance-company-for-general-operating-support-1/,"$75,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Bay Area Video Coalition,https://www.hewlett.org/grants/bay-area-video-coalition-for-general-operating-support-2/,"$300,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
California State Summer School Arts Foundation,https://www.hewlett.org/grants/california-state-summer-school-arts-foundation-for-general-operating-support-1/,"$120,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Bandaloop,https://www.hewlett.org/grants/bandaloop-for-general-operating-support-2/,"$105,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Windward Fund,https://www.hewlett.org/grants/windward-fund-for-the-water-funders-initiative/,"$200,000","October 23, 2017",Environment,https://www.hewlett.org/programs/environment/,for the Water Funders Initiative
Growth Philanthropy Network,https://www.hewlett.org/grants/growth-philanthropy-network-for-planning-for-a-collaborative-network-to-seek-scaled-impact-across-a-states-education-system/,"$25,000","October 19, 2017",Education,https://www.hewlett.org/programs/education/,for planning for a collaborative network to seek scaled impact across a state’s education system
Stanford University,https://www.hewlett.org/grants/stanford-university-for-support-of-the-stanford-center-on-philanthropy-and-civil-society-5/,"$1,000,000","October 19, 2017",Philanthropy,,for support of the Stanford Center on Philanthropy and Civil Society
Worldwide Initiatives for Grantmaker Support,https://www.hewlett.org/grants/worldwide-initiatives-for-grantmaker-support-for-general-operating-support-3/,"$10,000","October 18, 2017",Philanthropy,,for general operating support
The Lugar Center,https://www.hewlett.org/grants/the-lugar-center-for-general-operating-support-2/,"$700,000","October 18, 2017",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for general operating support
San Francisco Foundation,https://www.hewlett.org/grants/san-francisco-foundation-for-the-great-communities-collaborative-0/,"$400,000","October 18, 2017",Environment,https://www.hewlett.org/programs/environment/,for the Great Communities Collaborative
Bridgespan Group,https://www.hewlett.org/grants/bridgespan-group-for-general-operating-support-3/,"$500,000","October 18, 2017",Philanthropy,,for general operating support
Public Policy Institute of California,https://www.hewlett.org/grants/public-policy-institute-of-california-for-support-of-the-water-policy-center-0/,"$10,000","October 18, 2017",Environment,https://www.hewlett.org/programs/environment/,for support of the Water Policy Center
Generation Citizen,https://www.hewlett.org/grants/generation-citizen-for-building-capacity-for-scale-and-financial-sustainability/,"$50,000","October 18, 2017",Education,https://www.hewlett.org/programs/education/,for building capacity for scale and financial sustainability
Bridgespan Group,https://www.hewlett.org/grants/bridgespan-group-for-general-operating-support-3/,"$500,000","October 18, 2017",Philanthropy,,for general operating support
International Budget Partnership,https://www.hewlett.org/grants/international-budget-partnership-for-building-civil-society-capacity-on-budget-work-in-francophone-west-africa/,"$600,000","October 17, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for building civil society capacity on budget work in Francophone West Africa
Oxfam America,https://www.hewlett.org/grants/oxfam-america-for-support-to-oxfam-west-africas-project-enhancing-womens-participation-in-extractives-governance/,"$400,000","October 17, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support to Oxfam West Africa's project enhancing women's participation in extractives governance
Plug In America,https://www.hewlett.org/grants/plug-in-america-for-general-operating-support-1/,"$200,000","October 17, 2017",Environment,https://www.hewlett.org/programs/environment/,for general operating support
George Washington University,https://www.hewlett.org/grants/george-washington-university-for-support-of-strategic-planning/,"$50,000","October 17, 2017",Education,https://www.hewlett.org/programs/education/,for support of strategic planning
United States Fund for UNICEF,https://www.hewlett.org/grants/united-states-fund-for-unicef-for-an-evaluation-of-the-data-must-speak-project/,"$250,000","October 17, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for an evaluation of the Data Must Speak project
Center for U.S. Global Leadership,https://www.hewlett.org/grants/center-for-u-s-global-leadership-for-general-operating-support-3/,"$1,000,000","October 17, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for general operating support
Colorado Education Initiative,https://www.hewlett.org/grants/colorado-education-initiative-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","October 17, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
SDSN Association Inc.,https://www.hewlett.org/grants/sdsn-association-inc-for-the-thematic-research-network-on-data-and-statistics/,"$450,000","October 17, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the Thematic Research Network on Data and Statistics
University of California at San Francisco,https://www.hewlett.org/grants/university-of-california-at-san-francisco-for-support-of-rd-advocacy/,"$350,000","October 17, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of R&D advocacy
International Development Research Centre,https://www.hewlett.org/grants/international-development-research-centre-for-support-to-create-a-network-of-open-data-for-development-practitioners-in-west-africa/,"$100,000","October 16, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support to create a network of Open Data for Development practitioners in West Africa
ONG-3D,https://www.hewlett.org/grants/ong-3d-for-capacity-building-of-womens-organizations-to-engage-in-decision-making-about-public-services/,"$450,000","October 16, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for capacity-building of women's organizations to engage in decision-making about public services
Institute for Climate and Society,https://www.hewlett.org/grants/institute-for-climate-and-society-for-general-operating-support-0/,"$1,000,000","October 15, 2017",Environment,https://www.hewlett.org/programs/environment/,for general operating support
"Center for Health, Human Rights and Development",https://www.hewlett.org/grants/center-for-health-human-rights-and-development-for-general-operating-support/,"$800,000","October 12, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for general operating support
Integrity Action,https://www.hewlett.org/grants/integrity-action-for-the-community-integrity-building-project-in-kenya/,"$400,000","October 12, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the Community Integrity Building project in Kenya
"African Population and Health Research Center, Inc.",https://www.hewlett.org/grants/african-population-and-health-research-center-inc-for-support-of-research-on-quality-of-post-abortion-care-services/,"$800,000","October 12, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of research on quality of post-abortion care services
"World Faiths Development Dialogue International, Inc.",https://www.hewlett.org/grants/world-faiths-development-dialogue-international-inc-for-the-development-of-a-regional-interfaith-platform-for-family-planning/,"$800,000","October 12, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the development of a regional interfaith platform for family planning
Equal Justice Works,https://www.hewlett.org/grants/equal-justice-works-for-a-campaign-to-preserve-public-service-loan-forgiveness/,"$350,000","October 10, 2017",Special Projects,https://www.hewlett.org/programs/special-projects/,for a campaign to preserve public service loan forgiveness
New Venture Fund,https://www.hewlett.org/grants/new-venture-fund-for-the-open-internet-defense-fund/,"$400,000","October 9, 2017",Cyber,https://www.hewlett.org/programs/cyber/,for the Open Internet Defense Fund
University of Washington,https://www.hewlett.org/grants/university-of-washington-for-support-of-the-tech-policy-lab-0/,"$200,000","October 9, 2017",Cyber,https://www.hewlett.org/programs/cyber/,for support of the Tech Policy Lab
New America Foundation,https://www.hewlett.org/grants/new-america-foundation-for-support-of-cybersecurity-and-internet-policy-programs-1/,"$50,000","October 9, 2017",Cyber,https://www.hewlett.org/programs/cyber/,for support of cybersecurity and Internet policy programs
Jobs for the Future,https://www.hewlett.org/grants/jobs-for-the-future-for-support-of-strategic-communications/,"$50,000","October 6, 2017",Education,https://www.hewlett.org/programs/education/,for support of strategic communications
"Earth Island Institute, Inc.",https://www.hewlett.org/grants/earth-island-institute-inc-for-the-bay-area-wilderness-training-program-4/,"$65,000","October 6, 2017",Environment,https://www.hewlett.org/programs/environment/,for the Bay Area Wilderness Training program
Development Gateway Foundation,https://www.hewlett.org/grants/development-gateway-foundation-for-a-program-to-spur-the-creation-and-use-of-open-contracting-data-in-uganda-and-senegal/,"$400,000","October 6, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for a program to spur the creation and use of open contracting data in Uganda and Senegal
Save the Bay,https://www.hewlett.org/grants/save-the-bay-for-the-bay-smart-communities-program/,"$220,000","October 6, 2017",Environment,https://www.hewlett.org/programs/environment/,for the Bay Smart Communities program
Save the Bay,https://www.hewlett.org/grants/save-the-bay-for-strategic-communications/,"$30,000","October 6, 2017",Environment,https://www.hewlett.org/programs/environment/,for strategic communications
Resources Legacy Fund,https://www.hewlett.org/grants/resources-legacy-fund-for-the-western-energy-project-0/,"$325,000","October 6, 2017",Environment,https://www.hewlett.org/programs/environment/,for the Western Energy Project
Population Action International,https://www.hewlett.org/grants/population-action-international-for-support-of-dissemination-about-u-s-policies-to-local-advocacy-organizations/,"$300,000","October 6, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of dissemination about U.S. policies to local advocacy organizations
High Tech High Graduate School of Education,https://www.hewlett.org/grants/high-tech-high-graduate-school-of-education-for-a-fellowship-for-leading-large-scale-change/,"$30,000","October 6, 2017",Education,https://www.hewlett.org/programs/education/,for a fellowship for leading large-scale change
Guttmacher Institute,https://www.hewlett.org/grants/guttmacher-institute-for-support-for-the-mexico-city-policy-tracking-study/,"$500,000","October 6, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support for the Mexico City Policy tracking study
Resources Legacy Fund,https://www.hewlett.org/grants/resources-legacy-fund-for-the-western-energy-project-0/,"$325,000","October 6, 2017",Environment,https://www.hewlett.org/programs/environment/,for the Western Energy Project
Population Action International,https://www.hewlett.org/grants/population-action-international-for-support-of-dissemination-about-u-s-policies-to-local-advocacy-organizations/,"$300,000","October 6, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of dissemination about U.S. policies to local advocacy organizations
High Tech High Graduate School of Education,https://www.hewlett.org/grants/high-tech-high-graduate-school-of-education-for-a-fellowship-for-leading-large-scale-change/,"$30,000","October 6, 2017",Education,https://www.hewlett.org/programs/education/,for a fellowship for leading large-scale change
Guttmacher Institute,https://www.hewlett.org/grants/guttmacher-institute-for-support-for-the-mexico-city-policy-tracking-study/,"$500,000","October 6, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support for the Mexico City Policy tracking study
Energy Innovation Reform Project,https://www.hewlett.org/grants/energy-innovation-reform-project-for-general-operating-support-0/,"$300,000","October 5, 2017",Environment,https://www.hewlett.org/programs/environment/,for general operating support
"Gesoc, Agencia para el Desarrollo",https://www.hewlett.org/grants/gesoc-agencia-para-el-desarrollo-for-strategic-planning/,"$25,000","October 5, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for strategic planning
Center for American Progress,https://www.hewlett.org/grants/center-for-american-progress-for-climate-and-energy-story-bank/,"$250,000","October 5, 2017",Environment,https://www.hewlett.org/programs/environment/,for climate and energy story bank
Rutgers University Foundation,https://www.hewlett.org/grants/rutgers-university-foundation-for-support-of-the-anita-ashok-datar-lecture-on-womens-global-heath/,"$100,000","October 5, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the Anita Ashok Datar Lecture on Women’s Global Heath
Center for American Progress,https://www.hewlett.org/grants/center-for-american-progress-for-the-womens-health-and-rights-program-0/,"$400,000","October 5, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the Women’s Health and Rights Program
Urban Institute,https://www.hewlett.org/grants/urban-institute-for-the-reproductive-health-access-monitoring-and-analysis-project/,"$1,000,000","October 4, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the Reproductive Health Access Monitoring and Analysis project
Urban Institute,https://www.hewlett.org/grants/urban-institute-for-the-reproductive-health-access-monitoring-and-analysis-project/,"$1,000,000","October 4, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the Reproductive Health Access Monitoring and Analysis project
University of Maryland,https://www.hewlett.org/grants/university-of-maryland-for-support-of-research-on-political-behavior/,"$150,000","October 4, 2017",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for support of research on political behavior
Ibis Reproductive Health,https://www.hewlett.org/grants/ibis-reproductive-health-for-general-operating-support-5/,"$800,000","October 4, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for general operating support
University of Colorado at Boulder,https://www.hewlett.org/grants/university-of-colorado-at-boulder-for-the-long-term-impact-of-access-to-larc-census-project/,"$450,000","October 4, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for the long-term impact of access to LARC Census project
University of Texas at Austin,https://www.hewlett.org/grants/university-of-texas-at-austin-for-support-of-an-integrated-cybersecurity-studies-program-0/,"$150,000","October 3, 2017",Cyber,https://www.hewlett.org/programs/cyber/,for support of an integrated cybersecurity studies program
Silicon Valley Leadership Group Foundation,https://www.hewlett.org/grants/silicon-valley-leadership-group-foundation-for-the-emerging-technology-policy-initiative/,"$30,000","October 3, 2017",Cyber,https://www.hewlett.org/programs/cyber/,for the Emerging Technology Policy Initiative
Zero1,https://www.hewlett.org/grants/zero1-for-organizational-planning/,"$25,000","October 3, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for organizational planning
Climate Policy Initiative,https://www.hewlett.org/grants/climate-policy-initiative-for-general-operating-support/,"$1,500,000","October 2, 2017",Environment,https://www.hewlett.org/programs/environment/,for general operating support
Performing Arts Workshop,https://www.hewlett.org/grants/performing-arts-workshop-for-capital-improvements-and-relocation-to-the-historic-geneva-powerhouse-building/,"$250,000","October 2, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for capital improvements and relocation to the historic Geneva Powerhouse building
Public Land Solutions,https://www.hewlett.org/grants/public-land-solutions-for-general-operating-support-1/,"$125,000","September 30, 2017",Environment,https://www.hewlett.org/programs/environment/,for general operating support
Natural Resources Defense Council,https://www.hewlett.org/grants/natural-resources-defense-council-for-general-operating-support-0/,"$50,000","September 30, 2017",Environment,https://www.hewlett.org/programs/environment/,for general operating support
National Audubon Society,https://www.hewlett.org/grants/national-audubon-society-for-support-of-the-lower-colorado-river-basin-project/,"$150,000","September 30, 2017",Environment,https://www.hewlett.org/programs/environment/,for support of the lower Colorado River Basin project
ClimateWorks Foundation,https://www.hewlett.org/grants/climateworks-foundation-for-communication-strategies-in-brazil-and-china/,"$670,000","September 30, 2017",Environment,https://www.hewlett.org/programs/environment/,for communication strategies in Brazil and China
Coalition for Clean Air,https://www.hewlett.org/grants/coalition-for-clean-air-for-general-operating-support-1/,"$250,000","September 30, 2017",Environment,https://www.hewlett.org/programs/environment/,for general operating support
Learning Forward,https://www.hewlett.org/grants/learning-forward-for-support-of-strategic-planning/,"$50,000","September 29, 2017",Education,https://www.hewlett.org/programs/education/,for support of strategic planning
National Women's Law Center,https://www.hewlett.org/grants/national-womens-law-center-for-brand-and-messaging-refresh/,"$30,000","September 29, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for brand and messaging refresh
ProPublica,https://www.hewlett.org/grants/propublica-for-general-operating-support-3/,"$600,000","September 27, 2017",Special Projects,https://www.hewlett.org/programs/special-projects/,for general operating support
Business Innovation Factory,https://www.hewlett.org/grants/business-innovation-factory-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","September 27, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
Buck Institute for Education,https://www.hewlett.org/grants/buck-institute-for-education-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","September 25, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
Education Resource Strategies,https://www.hewlett.org/grants/education-resource-strategies-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","September 25, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
Big Picture Company,https://www.hewlett.org/grants/big-picture-company-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","September 25, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
Buck Institute for Education,https://www.hewlett.org/grants/buck-institute-for-education-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","September 25, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
Education Resource Strategies,https://www.hewlett.org/grants/education-resource-strategies-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","September 25, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
National Health Law Program,https://www.hewlett.org/grants/national-health-law-program-for-support-of-the-reproductive-health-program-to-respond-to-threats-to-aca-medicaid-and-title-x/,"$500,000","September 25, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,"for support of the reproductive health program to respond to threats to ACA, Medicaid and Title X"
Hopewell Fund,https://www.hewlett.org/grants/hopewell-fund-for-support-of-the-resources-for-abortion-deliverys-business-sustainability-project/,"$400,000","September 25, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the Resources for Abortion Delivery’s business sustainability project
Guttmacher Institute,https://www.hewlett.org/grants/guttmacher-institute-for-support-of-the-net-effect-study-measuring-the-impact-of-cuts-to-the-family-planning-safety-net/,"$1,000,000","September 25, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the Net Effect study measuring the impact of cuts to the family planning safety net
Jobs for the Future,https://www.hewlett.org/grants/jobs-for-the-future-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","September 25, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
National Center for Research in Advanced Information and Digital Technology,https://www.hewlett.org/grants/national-center-for-research-in-advanced-information-and-digital-technology-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","September 25, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
Learning Policy Institute,https://www.hewlett.org/grants/learning-policy-institute-for-support-of-organizational-diversity-equity-and-inclusion-capacity-to-advance-educational-equity/,"$50,000","September 22, 2017",Education,https://www.hewlett.org/programs/education/,"for support of organizational diversity, equity and inclusion capacity to advance educational equity"
New Meridian Corporation,https://www.hewlett.org/grants/new-meridian-corporation-for-general-operating-support/,"$375,000","September 22, 2017",Education,https://www.hewlett.org/programs/education/,for general operating support
Stanford University,https://www.hewlett.org/grants/stanford-university-for-the-new-moral-economy-project-at-the-center-for-advanced-study-in-the-behavioral-sciences/,"$100,000","September 21, 2017",Special Projects,https://www.hewlett.org/programs/special-projects/,for the New Moral Economy project at the Center for Advanced Study in the Behavioral Sciences
Social and Environmental Entrepreneurs,https://www.hewlett.org/grants/social-and-environmental-entrepreneurs-for-advocates-for-community-alternatives-project-on-local-government-accountability-in-ghana/,"$200,000","September 21, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for Advocates for Community Alternative’s project on local government accountability in Ghana
Committee for a Responsible Federal Budget,https://www.hewlett.org/grants/committee-for-a-responsible-federal-budget-for-general-operating-support-1/,"$300,000","September 21, 2017",Madison Initiative,https://www.hewlett.org/programs/madison-initiative/,for general operating support
Golden Thread Productions,https://www.hewlett.org/grants/golden-thread-productions-for-a-facility-strategic-plan/,"$50,000","September 21, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for a facility strategic plan
AXIS Dance Company,https://www.hewlett.org/grants/axis-dance-company-for-general-operating-support-2/,"$75,000","September 21, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
ID Insight,https://www.hewlett.org/grants/id-insight-for-general-operating-support/,"$1,000,000","September 21, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for general operating support
